label,sentence
negative, प्रेस स्वतन्त्रता सेजनलाइ आवस्यक हुन्न 
negative,"  सरासर बहिष्कार गर्नुपर्नेखाले ट्विट रैछ, एकजना नि महिला मित्रको नाम देखिएन😜😜😂😂"
negative,बधाई छ बिकाउ अनि पदमा टिकाउ माननीय न्यायाधीश ख्यादिश ज्युहरुको उत्कृष्ट न्याय सम्पादनलाई 
negative,यिनिहरु राजनितिक ब्यापारी हुन राजनितिक मार्केटमा जे बिक्छ त्यो यिनिहरुको प्रमुख अजेन्डा हो र हुनेछ
neutral, एउटा महिला टेलरमा शुट सिलाउन गइनटेलरवाला :- कतिको फ़िटिङ्ग राखौ म्याम
positive," सोच बदल्नुस खुसी आफै मिल्छ , स्वाभाव बदल्नुस इज्जत आफै पाइन्छ "
positive,देस र जनताको लागि राम्रो काम गरे जुन सुकै नेताले पनि जस्तो सुकै चुनावमा सजिलै सँग जित्न सक्छन
neutral, स्त्रीको भेषमा पुरुष
neutral, झलनाथ खनाल भन्छन्- म बेरोजगार छु 
positive,बुढानिलकण्ठ सभ्रान्तका छोरछोरी पढ्ने स्कुल रे 
positive,म सदैव उनको पक्षमा छु 
neutral,"झल्किन्छ ममता मेरो भाबगगा जताजता,जहा छन बुद्धका आखा🙏🙏"
negative,  देश मा यस्तो छ बिरोध गरे विपक्ष भैइन्छ र त गाह्रो छ
neutral,परीक्षामा महिला वा पुरुष जननेन्द्रियको चित्र बनाऊ भन्ने प्रश्न भने आउँथ्यो 
negative,प्रेम विवाहमा धोका खाएपछि न्याय खोज्दै गङ्गा
positive,इज्जत त्यो साथी लाई देउ 😊जो सङ तिम्रो नानाथरी स्कृनसट तिम्रा नराम्रा फुटाहरु छ्न
negative,छि
positive,"प्रमुख प्रशिक्षकका रुपमा अामन्त्रण गर्नुभएकोमा अध्यक्ष विमला मुल्मी, उपाध्यक्ष भावना श्रेष्ठ लगायत सम्पूर्ण टिमलाई हार्दिक धन्यवाद "
negative,"सुत्नु भन्दा अगाडि मैले एसो उसो गरेको दिक्क लग्ने, अर्को पाली देखी त्यस्तो केइ पनि गर्दिन"
negative,"हेर्दा हेर्दै १० बजी सकेछ काम आझै सक्किएको छैन, पसलवालाले मलाई त मर्ने नै भए"
positive,"राम्रो खानु, राम्रो लाउनु जीवन जिउनु के नै छ र गार्हो"
negative,बकम्फुसे कुरा म अड्किएर बसियो आज समयले आफ्नो नियत देखाउदै छ
negative,हत्तेरिका डुबिहलियोनी तिम्रो काम गर्दिनै बिर्सेंछु
negative,"मगन्त नारायणले जती जे गरेपनी जिन्दगीले लात हनेरै छोड्छ, बरु मरे हुन्छ"
positive,"प्रिय सुफी मेरो मानको कुरा बुझिदेउन, मलाई तिमी एकदमै मनपर्छ के"
negative,मान्छेलाई डराउने धम्काउने डुबाउने भन्दा आरु केइ भेटिएन नेपाल मा
positive,"जे नराम्रो हुनु छ भएरै छाड्छ, भनेजसो भएन भनेर आत्तिनु हुँदैन"
positive, मेरो सहनशीलता लाई कमजोरी न सम्झ कोइ😊                ध्यान रहोसखरानीको तल  अक्सर आगोको कोइला  दबेको हुन्छ😎इज्जत दिए इज्जत पा…
negative,खाली बोलेर मात्र हुनेभय कनैयाकुमार रास्ट्रपति र हार्दिक पटेल प्रधानमन्त्री हुने थिय बोलेर चिल्ला भासण अरुलाइ गालिगलौच दियर जनता को मन जित्न सकिँदैन जनताको मन जित्न ब्यबहारिक निस्वार्थ देसभक्ती हुनुपर्यो मोदि जस्तो जनता ले जनमत दियको नै सर्बमान्य हो हार जित जनताको हातमा
positive,देशलाई यस्ता आदर्शपुरूषको योगदानको हेक्का हुनु परो
negative," सत्य, पुरुष= रु १५०० पर्ने रौसिको बोतल सल्तिमा राख्छ अनि रु १० प्रतिखिल्ली पर्ने चुरोट उडाउदै भन्छ छोरा-छोरिको स्कुल फि…"
negative,किन उनले बोल्ने अनि टुक्स ब्रो ले नबोल्ने 
negative, बोली मुस्कुरायो गीत जसरीआँखा बोल्यो  प्रीत  जसरीओठ तिलस्मी मुस्कान तुफानीमुटुले  हेरिरह्यो  रमीत  जसरी जित्न अहँकतिप…
negative," यहाँ,   को नाममा दाइजो दिएर बेहुला किन्दा ठुलो इज्जत रहन्छ तर    गर्दा इज्जत   माटोमा मिल्छ…"
positive, कुलमानको फरक रुपत्रिशूली ‘बी’ हब स्टेशनको निर्माण नियतबस रोकिएको खबर पाएपछि नुवाकोट पैरबेसी पुगेका नेपाल विद्युत प्राधिकरण…
positive, कुलमानको फरक रुपत्रिशूली ‘बी’ हब स्टेशनको निर्माण नियतबस रोकिएको खबर पाएपछि नुवाकोट पैरबेसी पुगेका नेपाल विद्युत प्राधिकरण…
neutral, हरेक कुराहरू भरिनु पुर्व रित्तिनु आवस्यक छ 
negative,अनि न्याय खोज्न चाहिँ कहाँ जाने
positive," सोच बदल्नुस खुशी आफै मिल्छ ,स्वभाव बदल्नुस ईज्जत आफै मिल्छ ,बाटो सही रोज्नुस् गन्तव्य आफै मिल्छ शुभविहानी 🤗शुभदिन😍"
positive, हजारौ सामान्य शब्दहरू लेख्नुभन्दा पनि एउटा त्यस्तो अनमोल शब्द लेख्न  सिक्नदैछु जसले ति हजारौ शब्दहरूलाई जित्न सकोस
positive,म सदैव उनको पक्षमा छु 
positive,  
positive, हुन त  ‘अदालतले खोई तस्कर भनेको’ भनेर पनि भन्लान तर प्रम जस्तो मान्छेले विवादास्पदहरु संग बचेरै रहेको राम्रो हो
negative,बालुवाटारको जग्गा व्यक्तिको नाममा गराउन कांग्रेस सभापति देउवाको  प्रमुख भूमिका.(पुरा बिवरण हेर्नुहोस्)
positive," सोच बदल्नुस खुसी आफै मिल्छ , स्वाभाव बदल्नुस इज्जत आफै पाइन्छ "
positive,चितवनका प्रमुख जिल्ला अधिकारी जितेन्द्र बस्नेतको उपस्थितिमा जिल्ला प्रशासन कार्यालयमा भएको छलफलमा त्यस्तो सहमति गरिएको हो 
negative, उर्फ यि पुरुष स्रष्टा 🤮🤮🤮
negative,"नारी गर्भमा देखि घरमा समेत सुरक्षित हुदिन्न , हेटौंडाकि चेली अन्जना माथी  "" जेठाजुले आमा मैले बुहारी काटेर आइ , पुलिस बोलाइदेउ भन्दा समेत घरमा बसेकी सासू आमालाइ केही थाहा नहुने , "
negative,किन सधै लेख्या 
positive, मेडिसीटी अस्पतालले सार्वजनिक जग्गा मिचेर संरचना बनाएको बारे हामीले एकै दिन ४ वटा समाचार प्रकाशित गरेका छौं 
negative,हेटौँडा सिमेण्ट उद्योगमा कच्चापदार्थ उत्पादन ठप्प समणटउदयग हटडसमणटउदयगपुरा समाचार पढ्न यहाँ क्लिक गर्नुस्:
neutral," बालक ,वृद्ध ,महिला र युवा समेत गरि९ जनाको सामुहिक हत्या गरिएको गाउँ र घटनास्थल पुग्यौं आज हामी  आतंकित भेट्यौं सिंगो…"
negative," खाडीमा गएर आएकी केटी सग कुनै केटाले बिहे गर्न मान्दैनन् तर अष्टेलिया, अमेरिका, जापान, युरोप पुगेर आएकी केटी भए बिहे गर्न…"
neutral, पहिला चोटी पिठो मुछ्न लाको पानी कति बाल्टी हालुम साथीहरु 😂😂
positive,न्याय माग्न कुन सरकारलाई गुहार्ने हो 
negative, पहिले आफ्नो मानो भर्न सक्नु पर्छअनि अरुलाई दोष दिने होनाकाबन्दिको कारण मोदिलाई मन पराएनौहो मलाई पनि मन पर्दैनतर ए…
negative," सत्य, पुरुष= रु १५०० पर्ने रौसिको बोतल सल्तिमा राख्छ अनि रु १० प्रतिखिल्ली पर्ने चुरोट उडाउदै भन्छ छोरा-छोरिको स्कुल फि…"
negative,हजारौँ उत्तर कोरियाली महिला र बालिका चीनमा यौनदासी
positive,म सदैव उनको पक्षमा छु 
positive, सही कुरा हो 
negative, घरमा जति राम्री श्रीमती भएनी बाहिर प्रस्त्री लाई आँखा नलाउने पुरुष को होला र यो संसारमा आँखा सबैले लाउँछन् फरक यति मा…
positive, रषटरयपरचयपतरपुरा समाचार पढ्न यहाँ क्लिक गर्नुस्:
negative,"सर्वमान्य नेता गणेशमान सिंहले कुनै वेला “अवसर नपाएर इमान्दार भएकाहरू” भनेर भन्नु हुन्थ्यो, त्यस्तै चाँही नहोस् है कमरेड "
positive,२०-२५ किमि नियमित 
negative, अहीलेको परीभेषमा पुरुष भयर जन्मीनु भगवान भन्दा कम छैन रहेछमन लाग्यो बलात्कार गर्दियोभनेको मानेन एसीड छर्कीयोर यती गरेर…
positive,पार्टीभित्र देखिएको विवाद अन्त्य हुनुपर्छनेता डा कोइराला डशखरकइरल नपलकङगरसपुरा समाचार पढ्न यहाँ क्लिक गर्नुस्:
positive,विकासको गति लम्कीबाटै शुरु गरिन्छमुख्यमन्त्री भट्ट तरलचनभटट सदरपशचमपरदशपुरा समाचार पढ्न यहाँ क्लिक गर्नुस्:
positive, मार्क्सबादकाे बिध्यार्थि हुँ दुख परे घर जग्गा बेचिन्छ ईमान बेचिदैन जुन समितिमा म कहिल्यै थिईन त्यहि समितिसँग मलाई जाे…
positive, हजारौ सामान्य शब्दहरू लेख्नुभन्दा पनि एउटा त्यस्तो अनमोल शब्द लेख्न  सिक्नदैछु जसले ति हजारौ शब्दहरूलाई जित्न सकोस
positive, ईश्वर पोखरेल र पुष्पकमल दाहालको दन्त बझान आउदो महाधिवेशनमा पकड कायम गर्नका लागि हो  पोखरेलले पूर्व एमालेलाई आफ्नो नजिक…
positive,            के भो फेउरी 😂😂😂
positive,अाशा गराै यति धेरै अाशा लाग्दा तन्नेरीले सम्हालेफछि न्याय सेवामा अाशातित प्रगति हाेला
negative, एउटा नारीमा र चिनीमा कुनै भिन्ता देखिन मैले चीनी जस्तो सुखै पानीमा मिसाए पनि आफ्नो मिठास ल्याएर छोड्छ त्यस्तै नारी पनि…
positive,  डिऊटी हो गर्नै पर्छ सपथ खाको हुन्छ त्यो देश को हित मा न्याय भन्द माथी कोई हुन सक्दैन 
negative,कुजात ले बाबुराम लाई जातीयताको नजरमा हेरे पनि जो बिभेद र उत्पिडनमा छन ति जनताले बाबुराम लाई मुक्ति दाता को रुपमा पुजेका छन
neutral,"कामको अवसर / आवास सहितस्थान - कोभास दी फेरो , सिंत्रा    मोबाईल-  रमेशनोट- आवश्यक संख्या १ , महिलासेगुरान्सा सोसियल भएको अनिबार्यपुनश्च यस कामका लागि सम्पर्क भोलि बिहान ११ बजे सम्म मात्रै गरिदिनुहोला"
positive,             फलो गरौ सबैलाई 😉😃
negative,"तर पनि महिला हिंसाको मात्र खबर बाहिर अाउछ  पुरुष डराएर हो कि, पुरुष…"
negative,"मानाैंदहामी गरिब छाैं, निकम्मा छाैं, लाचार छाैं तर राजदुतकाे यस्तो सक्रियता कुन देशलाई स्विकार्य हुन्छकि गरिबकाे इज्जत हुँदैन भन्नुस"
negative,मिसेस नेपाल ग्ल्याममा १७ जना विवाहित महिला प्रतिस्प्रधी
negative,   राष्ट्रपति नै भन्नु पद त त्यहि होनि महिला भनेर पत्नी भन्न पाईयोत हजूर
negative, एउटा सफल पुरूष उ हो जसले श्रीमतीले गर्ने खर्च भन्दा बढी कमाउछ र सफल महिला उ हो जसले यस्तै श्रिमान पाउछिन् 
positive," मेरो मम्मी,तिमी ,अनि मेरो दिदी,मैले आदर गर्ने नारीहरू😮😮उहाँको यो भनाइ सबै भन्दा महंगो उपहारमेरो जिन्दगीमा😮😮यदि कसै…"
negative, पाँचथरमा २ परिवारका ९ जनाको धारिलो हतियार प्रहार गरी हत्या गरिएको छ 
negative," सूचना 😂😂""लुट्न सके लुट कान्छा"" शीर्षकमा चलचित्र बन्दै छविभिन्न केट्गोरिमा कलाकार आवस्यक भेकाले दर्खास्त आह्वान गरिन्छयो…"
positive,यो रोगको प्रमुख लक्षण अत्यधिक गफ दिनु हो 
negative," महिलाहरु फुर्ति लाएर भन्छ्न 😎😎'' हामि पुरुष भन्दा कम छैनौ, जुन सुकै काम बराबर गर्न सक्छौ''ब्यवहारमा ..राज्यमा ३३…"
negative,धनगढी जोशीपुर गाउँपालिकाको प्रमुख प्रशासकीय अधिकृत हुँदा आर्थिक अनियमितता गरेको भन्दै नारायणबहादुर विष्ट विरुद्ध अख्तियारमा मुद्धा परेको छ 
negative,अर्थमन्त्रीसँग प्रदिप गिरिको प्रश्नः उच्च बृद्धिदर र सामाजिक न्याय कसरी सँगसँगै जान सक्छ
positive, अठारघन्टा लामो नियतबसको अँध्यारो प्रताडनाबाट देशलाई मुक्त गर्ने कुलमान हुन् 
negative,तपैंले झुण्डिएर मर्ने कुरा गर्न सुहाउँदैन
negative, बुढानिलकण्ठ सभ्रान्तका छोरछोरी पढ्ने स्कुल रे 
negative," सत्य, पुरुष= रु १५०० पर्ने रौसिको बोतल सल्तिमा राख्छ अनि रु १० प्रतिखिल्ली पर्ने चुरोट उडाउदै भन्छ छोरा-छोरिको स्कुल फि…"
positive,  ले छाती ठाडो गरेर उनलाई लगाइएका आरोपको संसदमा प्रतिवाद हरे
positive,लैङिगक उत्तरदायी बजेट र महिला अधिकार सम्वन्धि एक दिवसिय अभिमुखिकरण कार्यक्रम सम्पन्न 
negative,के काम गर्छ 
negative,:अवैधरूपमा हातहतियार ः २३६ पुरुष र ६ जना महिला पक्राउ -
positive,धेरै अाशा  र भराेसा याे गरिमा मा अलिकति पनि अांच अाउने छैन 
positive,१ बर्षपछी आफै उत्पादन र बितरण निती पास गर्ने
positive,"सरकारमा महिला ४, दलित र थारु २/२ मुस्लिम १ "
positive,जननेता मदन भण्डारी र तत्कालिन एमाले पार्टीका संगठन विभाग प्रमुख जिवराज आश्रित प्रति भावपूर्ण श्रद्धाञ्जली
negative, त्यो बिद्यार्थी नि के बिद्यार्थी जसलेचुईगम चपाएर डेक्समुनि नटासेको होस😆😆😂
negative, बच्चै देखि केवल जीत बेहोर्दै आएको मान्छे मैले था छैन खै कसरी तिम्रो मन जित्न  असफल भएँ
negative, उज्ज्वल भविष्यको देखि बनोटउपयुक्त होला के गरेर खै छनोटदेखे भित्रिएछ~संस्कार पश्चिमीनियत बदलिन्छ देखे पछि नोटखेलबाड…
negative, पुरुष हरु त पैसा तिरेर गएका थिए होलान् नि 
positive,म सदैव उनको पक्षमा छु 
negative," प्रेम को पहिलो सर्त इज़्ज़त हो जस्ले इज़्ज़त गर्न जान्दैन नि,त्येस्ले कैले माया गर्न सक्दैन"
positive,"कसैको पाउमा  जरुरि छैन , बाटो सही रोज्नुस , गन्तव्य आ…"
positive,  नोकरी गरेपछी नोकर नै हो नोकर भएपनी इमान्दार छु बज्जे 😂😂😂
positive,डियर कुलमान
positive,   को  यो फोटोले पुरै सोसल मिडियालाई ततायो आज 😀😀
negative,"‘सोलोढोलो प्रकृयाबाट पार्टी चल्दैन, यस्तै हाे भने दुर्भाग्य हुनेछ’ ईश्वर पोखरेल"
negative,"दुई छोरिको बाउ बोलाउदा रबि लामिछानेको दोस्रो हो कि तेस्रो बिहेले भन्छ , नेपाल पुरुष प्रदान देश बाट अझै निस्किनु सकिराको छैन "
positive,म सदैव उनको पक्षमा छु 
negative,तेसै सामाजिक सञ्जाल पाएं भनेर मेरो मात्र छोरा छोरी राम्रो लेखेर हुन्छ तसन्दर्भ
negative,संसदको अबको अधिवेशनभित्र संविधान संशोधन नभए सरकारबाट बाहिरिन्छौं राजेन्द्र श्रेष्ठ  नपल रजनदरशरषठ समजवदपरटपुरा समाचार पढ्न यहाँ क्लिक गर्नुस्:
positive,"नमस्ते  ज्यु,हार्दिक बधाई र शुभकामनाआशा छ तपाईको आउने पाँच बर्षिय कार्यकालमा देश अझै धेरै उन्नती र प्रगतीको मार्गमा अग्रसर हुने छ साथै हामी  क्षेत्र को जनताले पनि ""अच्छे दिन"" को ठुलो आशा र सपना साँचेका छौ "
negative,महिलाको भूमिकामा जमेका बलिउडका पुरुष कलाकार
negative,घरभित्रै महिला असुरक्षित सिरहामा २६ दिनमा तीन महिलाको रहस्यमय हत्या
negative, ✍️✍️ मतला मात्रै कठिन  रहेछ यहाँ कर्म घर  सम्हाल्न सकिन आमामन थामेर बसेकी छु इज्जत फाल्न सकिन आमा👉️😥😥😥😥😥😥😥😥😥😥😥😥
negative,अमनलाल मोदिजस्ता कुपात्रहरु रहुन्जेल इमान्दार मानिसहरुले दुख पाउने कुरा आयो
positive, मेरो सहनशीलता लाई कमजोरी न सम्झ कोइ😊                ध्यान रहोसखरानीको तल  अक्सर आगोको कोइला  दबेको हुन्छ😎इज्जत दिए इज्जत पा…
positive," बुद्धझै असल अनि परम ज्ञानी बन्नु छमाया~ममता, प्रेरणाको खानी बन्नु छअहिंसा र शान्तिको बाटो पहिल्याएर,सिद्दार्थ गौ…"
positive, मेडिसीटी अस्पतालले सार्वजनिक जग्गा मिचेर संरचना बनाएको बारे हामीले एकै दिन ४ वटा समाचार प्रकाशित गरेका छौं 
positive," वेदसम्म पढेकि रैछौ त, म पनि यस्तै केटिको खोजिमा थिए, बल्ल भेटियो   "
negative,अन्ततः उनी मेम डिलेट गर्दै माफी माग्न बाध्य भए
positive," प्रेम को पहिलो सर्त इज़्ज़त हो जस्ले इज़्ज़त गर्न जान्दैन नि,त्येस्ले कैले माया गर्न सक्दैन"
positive,म सदैव उनको पक्षमा छु 
positive, त्यो बिद्यार्थी नि के बिद्यार्थी जसलेचुईगम चपाएर डेक्समुनि नटासेको होस😆😆😂
positive,"पछाडि बस्नेले हेल्मेट लाउँदा १२ अर्बको व्यापार बढ्ने६ जेठ, काठमाडौं "
negative,जति सभ्य शिक्षित हुँदै जान्छन उति प्राकृतिक स्वरुपमा आउछन तर पुरुष त्यसको ठिक उल्टो हुन्छ
positive,अनैतिक क्रियाकलाप संलग्न १५१ जना महिला-पुरुष काठमाडौंका विभिन्न स्थानबाट पक्राउ   
positive, नारीले पुरूष सग समानता माग्ने कुरा हैन आफु सक्षम र योग्य हुने हाे अनि कसै सग केही काे पनि आसा गर्न पर्दैन दुबै जब गर्ने भए…
positive, बजार जान पनी श्रीमतीको पर्मिसन लिन पर्ने दिन  आयो भने मेरो नामको इज्जत जान्छभनेरै बिहे नगरेको मैले 😂
positive,"सुर्यको रापले पोलि'रा बेलाँ छायाँ बनी आयौ तिमीएक्लै भ'र टिन्सिन भैरा बेलाँ माया बनी आयौ तिमीदशा कति खराब थियो, हार जताततै, लडाईं भाईबिचट्याक्क त्यै बेलाँ इश्वर झैं दायाँ बनी आयौ तिमीछायाँ सरकार गठनको उपलख्खेमा दिप प्रज्वलन गरी उत्सव मनाऔं 🤪"
positive,म सदैव उनको पक्षमा छु 
neutral, एक सब्दमा भन्दिनुस त हजुरजिन्दगि भनेको के हो 
positive, लोकतान्त्रिक जनआन्दोलनमा जीवन उत्कर्ष गर्नुहुने शहीदहरुप्रति हार्दिक श्रद्धासुमन अर्पण गर्दछु 
positive,"उन्नती प्रगतिको खबर लिएर आऊनेछू, आँखामा मानसरोवर…"
positive," प्रेम को पहिलो सर्त इज़्ज़त हो जस्ले इज़्ज़त गर्न जान्दैन नि,त्येस्ले कैले माया गर्न सक्दैन"
positive, २ अर्ब ५० करोड बढिको हेल्मेट अहिल्यै निति पास गरेर किन्नु भन्दा त्यो पैसाले नेपालमै आधुनिक कम्पनी खोल्न सकिन्छ
positive, ट्विटरमा यहाँहरुलाईनगरी बस्नु भयको छ भने आजै गर्नुस सबै प्रकारका ट्विटपढ्नुस ज्ञान बढाउनुस  …
positive,"    को लागी पप आधुनिक विधा तर्फ नवगितकार को अवार्ड्को लागी ""जव म एक्लो छु "" बोलको गित को शब्द सर्जक हाम्रा गितकार भाइ  नवीन कोइराला उत्कृष्ट ५ मा नोमिटेड भएकोमा भाइलाई धेरै धेरै बधाइ "
positive," बुद्धझै असल अनि परम ज्ञानी बन्नु छमाया~ममता, प्रेरणाको खानी बन्नु छअहिंसा र शान्तिको बाटो पहिल्याएर,सिद्दार्थ गौ…"
positive,                    सम्झना सबै मा मुटु फुट्ने गरि 😍
negative,अमेरिकी राजदूतको (अ)कूटनीतिक एक्टिभिज्मको विपक्षमा लेख्न बोल्न हिम्मत नगर्ने प्रेसलाई स्वतन्त्रता केका लागि चाहिएको हो 
negative," आज्कल हामीपनि सामाजिकसन्जाल्बाट अनबरत नेतागिरी गर्छौँ कामभन्दा बढी आदर्श, चिल्लाकुरागर्दै उत्कृष्ट भाबहरु छर्छौं सम…"
positive,चलचित्र ‘रातो टिका निधारमा’को घोषणा भएको छ 
positive," हिमालझै हाँसिरहनु तिमीलाई मुस्कान सुहाउँछ,सजाई राख्नु सँधै शिरमा स्वाभिमान सुहाउँछ,मरेर लानु के नै छ र यो एकबारको जि…"
positive," माया उमेर सङ्ग होइन कसैको मन सङ्ग हुन्छ ,बिश्वास मान्छे सङ्ग होइन उस्को इमान सङ्ग हुन्छ ,साथी जस्तो सुखै होस माया साथी सङ्ग…"
negative, आजकल त कसै सँग गहिरो कुराहरू गर्न पनि डर लाग्छ 
positive,                    तिम्रो बाटो हेरी हेरी पर्खदाको मज्जा बेग्लै छ तिमीले मेन्सन पछी फर्किदाको मज्जा बेग्लै छसबैलाइ सम्झना मनैदेखि
positive, दक्षिण कोरीयाली नेताहरूको ५० वर्षिय समृध्दिका रोमान्चक अनुभवहरू सुन्दै .
negative, घरमा जति राम्री श्रीमती भएनी बाहिर प्रस्त्री लाई आँखा नलाउने पुरुष को होला र यो संसारमा आँखा सबैले लाउँछन् फरक यति मा…
negative, भन्न त सजिलै छ नि चुनाव जित्न पो गाह्रो 😄
negative,"टिभीमा क्षेप्यास्त्रको फोटो हेर्छु अमेरिका, कोरिया, इरान सबैतिरकोयसो सोच्छु समाज कति पुरुषप्रधान भको छ भन्नी कुरा ती क्षेप्यास्त्रको डिजाइन हेर्दा था हुन्छ, सबै लिंगको आकारमामहिला नि डिजाइन गर्नी ठाउँमा हुने हो भने लिंगजस्ता क्षेप्यास्त्र हेरेर बस्नपर्ने थिएन होला"
positive,"  हुन्छ, अाफ्नाे भागमा परेकाे राम्राे वा नराम्राे सबै परिणाम स्वीकार्न तयार छु"
neutral,"‘घर र अफिस त छ नै, हामीले सामाजिक व्यवहार पनि सम्हाल्नुपर्छ"
positive," जय नेपाल जनजातिको जय,महिला,दलित,मधेसी,थारु,र खस आर्यको जय हिमाल,पहाड,तराई-मधेसको जय,अनेक आस्था र विश्वास…"
positive,  हरेक पल वोलेको वोलै गर्छन र महिला हरु कति भन्न सक्या सक्नपनि
positive,प्रमुख तीन दल आफ्नो पार्टीको राष्ट्रिय अभियान लिएर गाउँगाउँ जाने भएका छन्
negative, ✍️✍️ मतला मात्रै कठिन  रहेछ यहाँ कर्म घर  सम्हाल्न सकिन आमामन थामेर बसेकी छु इज्जत फाल्न सकिन आमा👉️😥😥😥😥😥😥😥😥😥😥😥😥
negative,त्यही गहिराइमा खसाएर मार्छन कि भनेर 😂😂😂
positive, ट्विटरमा आयर यहाँ हरु लाई फलो नगरी बस्नु भयको छ भने आजै गर्नुस सबै प्रकारका ट्विट पढ्नुस ज्ञान बढाउनुस 😍👇️ …
negative,   ए बा 
positive, हामीलाई आधुनिक कृषिका बारेमा किसानसँगै खेत जोत्दै संसदमा तिनै किसानका निम्ति निति बनाउने सांसद चाहिएको छइञ्जिनियर अनि वि…
negative,"हाम्रो ""पिडा"" गाउलेलाइ के थाहाआजकलकी ""सिताहरू""दिउॅसै ""रावण""लाइ घरमा बोलाउछनबिचरा ""कतार…"
negative,
positive,यो अति बिबेकशिल अनि क्रान्तिकारी निर्णय अरु धर्ममा का पाउन सकिन्छ
positive,हरेक बखत  मा रहने र जनता/कार्यकर्तासङ को सम्वादले राम्रो काम गर्योजनतासङ दुरि बढाउनु हुदैन भन्ने यहाँकाले पनि बुझ्न जरुरी छ
positive,प्रगतीउन्मुख देशमा कमनिष्टका ढोंगी चरित्र बुझ्ने चेतना विकसित भैसकेको हुन्छ 
negative," नारि, पुरुष बराबर हो भन्दैमा केटिले ""जनै"" लगाएर हिड्न त मिल्दैन त हौ😋😋😋"
negative,यसमा गर्व गर्नुपर्ने कुरा के छमहिला भएर यो काम गरेकाले ठूलो भएको होयिनको ठाउँमा पुरुष भएको भए
negative, प्रेस स्वतन्त्रता भन्दा  देश स्वतन्त्रता प्रमुख होला 
negative, प्रमुख अतिथी को हुन कुन्नी
positive,मेरो भिडियो हरु लाई हजुर हरु ले सधैं माया गर्दै आउनु भएको छ
positive,छोटो गल्बन्दी संवाद धन्यबाद पत्रकार राज सरगम जि
positive,यसरी आफुलाई भिन्न भिन्न दृष्टिकोण बाट खोजिदा हेरिदा आनन्द लाग्छ
positive,गायक प्रकाश सपुत र गायिका शान्ति श्री परियारको नयाँ दोहोरी गीत ‘गलवन्दी‘ यतिबेला सामाजिक सञ्जालमा ‘हट टपिक’ बनेको छ
positive,"तर, गीतका गायक गायिकालाई ओझेलमा पार्ने गरी सर्वाधिक चर्चा भइरहेको छ, मोडल अञ्जली अधिकारीको"
positive,यिनिले गलबन्दी त के मेरो सबै कपडा च्यातिदिएर मलाई नाङ्गै बनाए पनि कुनै गुनासो रहने थिएन 
positive,गलबन्दी नेपाली युटुबको ट्रेन्डिङ २ मा छ
positive,जात्रै जात्रा' नबन्दै नाफामा जाने पक्का
positive,अपेक्षित सफलता हासिल गरेपछि उहाँले तेस्रो चलचित्रको रुपमा जात्रैजात्रा निर्माण गर्नुभएको हो 
positive,"उनी फेरि धनी बन्ने, परिवारलाई सुखसैलमा राख्ने सपना बुन्न थाल्छन् "
negative,तस्करीका भित्री रहस्यहरु खुलाइएको छैन 
negative,ती पक्षहरुलाई पनि उठाएको भए चलचित्र अझै धेरै राम्रो हुन सक्थ्यो 
negative,मुटुको धडकन अनि आखाको नानी भयो हरेक दिन बग्ने गंगाको पानी भयो तिम्ले वास्तै गरेनौ जिन्दकि यसै खेर जानिभयो
positive,कालो बुडा भा'कि केटीले कालो गाजल लगाउन हुदैन भनेदेखि प्याउकलिले त गाजल नै लाउन छोडिछे
negative,यति सारै घमन्ड नदेखाचुनाव मा देवेन्द्रकन्डेल को गलत न्यूज शेयर यही गर्ने पनि तिमी नै हौहोस गरलेख्न जान्याछु भन्दैमा झुठ लाई सही बनाएर सही हुदैन
negative,जान्याछु भन्दैमा झुठ लाई सही बनाएर सही हुदैन
negative,नेपालीले नै हगेको भन्दैमा अब के गु लाई नि सुन मान्नु पर्ने हाम्ले 
negative,जबर्जस्ती पो छ यार
negative,"अरु बेला हामी नै हो तिमिहरुको दुख, सुखको साथी अनि तिमीहरु हाम्रो साथी भन्नेहरु मित्रता दिवसको दिनमा चाहिँ वास्ता नगरी हिड्छन् "
positive,कसैका साथिहरु यस्ता नहुन् 
negative,अब बाट चाहिँ यस्तो नहोस् भन्ने म जस्ता अरु पिडित विद्यार्थीको गुनासो छ 
positive,सम्बन्धित निकाएको ध्यान जाओस् 
positive,"जनताको एकमात्र चाहना , राजनैतिक संरक्षण नहोस् "
positive,निर्मला काण्ड जस्तो नहोस धुलाबारी आरती हत्या प्रयास काण्ड 
positive,"जिबनमा जति नै दु:ख अनि पिडा किन नहोस, आखिर सम्हालीएर मुस्कुराउनै पर्छ, किनकि यहा दु:ख पनि आफनै हो र दुख्ने मुटु पनि आफनै"
negative,जिन्दगी सधै एक्लै जिउन सिक्नु पर्छ माया चाहे जतिनै गाडा किन नहोस् आखिर एक न एक दिन छुटी हाल्छ 
